date,callsign,flight_number,icao_address,ac_type_icao,aircraft_role,tail_number,airline_icao,airline_iata,airline_name,departure_airport_icao,arrival_airport_icao,departure_airport_iata,arrival_airport_iata,departure_scheduled_time,arrival_scheduled_time
2022-11-01,ROT392,RO392,4A0661,A318,PAX,YR-ASA,ROT,RO,TAROM,EGLL,LROP,LHR,OTP,2022-11-01 14:50:00.000000 UTC,2022-11-01 18:10:00.000000 UTC
2022-11-01,SAS4473,SK4473,4AC9FA,A20N,PAX,SE-ROZ,SAS,SK,Scandinavian Airlines System,ENKR,ENGM,KKN,OSL,2022-11-01 10:25:00.000000 UTC,2022-11-01 12:40:00.000000 UTC
2022-11-01,EDW15T,WK150,4B15EE,A320,PAX,HB-IHY,EDW,WK,Edelweiss Air,LSZH,HEMA,ZRH,RMF,2022-11-01 08:40:00.000000 UTC,2022-11-01 13:15:00.000000 UTC
2022-11-01,SWR358,LX358,4B17E0,BCS1,PAX,HB-JBC,SWR,LX,Swiss International Air Lines,LSGG,EGLL,GVA,LHR,2022-11-01 19:50:00.000000 UTC,2022-11-01 21:25:00.000000 UTC
2022-11-01,PGT3V,PC301,4B906D,A320,PAX,TC-DCM,PGT,PC,Pegasus Airlines,LTFJ,LKPR,SAW,PRG,2022-11-01 09:35:00.000000 UTC,2022-11-01 12:20:00.000000 UTC
2022-11-01,FHY304,FH304,4B9856,A320,PAX,TC-FBV,FHY,FH,Freebird Airlines,EDDM,LTAI,MUC,AYT,2022-11-01 09:10:00.000000 UTC,2022-11-01 12:05:00.000000 UTC
2022-11-01,THY65,TK65,4BA9D0,A333,PAX,TC-JNP,THY,TK,THY Turkish Airlines,VTBS,LTFM,BKK,IST,2022-10-31 15:55:00.000000 UTC,2022-11-01 02:45:00.000000 UTC
2022-11-01,THY2020,TK2020,4BAB22,B739,PAX,TC-JYB,THY,TK,THY Turkish Airlines,LTFM,LTAU,IST,ASR,2022-11-01 15:50:00.000000 UTC,2022-11-01 17:15:00.000000 UTC
2022-11-01,THY352,TK352,4BB074,B38M,PAX,TC-LCT,THY,TK,THY Turkish Airlines,LTFM,UAAA,IST,ALA,2022-10-31 22:20:00.000000 UTC,2022-11-01 03:45:00.000000 UTC
2022-11-01,THY716,TK716,4BB162,B77W,PAX,TC-LKB,THY,TK,THY Turkish Airlines,LTFM,VIDP,IST,DEL,2022-11-01 17:50:00.000000 UTC,2022-11-01 23:45:00.000000 UTC
2022-11-01,MNB9346,MB9346,4BB464,A306,CAR,TC-MCD,MNB,MB,MNG Cargo Airlines,EDDP,LTFM,LEJ,IST,2022-11-01 03:15:00.000000 UTC,2022-11-01 05:05:00.000000 UTC
2022-11-01,PGT7008,PC7008,4BB845,A20N,PAX,TC-NBE,PGT,PC,Pegasus Airlines,EDDB,LTFJ,SXF,SAW,2022-11-01 16:50:00.000000 UTC,2022-11-01 19:40:00.000000 UTC
2022-11-01,CAI4PY,XC5210,4BD153,B738,PAX,TC-TJS,CAI,XC,Corendon Air,EDDL,LTAU,DUS,ASR,2022-11-01 08:00:00.000000 UTC,2022-11-01 11:40:00.000000 UTC
2022-11-01,ASL69B,JU311,4C01E7,A320,PAX,YU-APH,ASL,JU,Air Serbia,LFPG,LYBE,CDG,BEG,2022-11-01 09:10:00.000000 UTC,2022-11-01 11:30:00.000000 UTC
2022-11-01,RYR7MA,FR2367,4CA622,B738,PAX,EI-DWV,RYR,FR,Ryanair,LZKZ,EGSS,KSC,STN,2022-11-01 10:05:00.000000 UTC,2022-11-01 12:40:00.000000 UTC
2022-11-01,SAS1787,SK1787,4CA6F8,CRJ9,PAX,EI-FPH,BCY,WX,CityJet,EETN,EKCH,TLL,CPH,2022-11-01 13:40:00.000000 UTC,2022-11-01 15:15:00.000000 UTC
2022-11-01,RYR7RV,FR6717,4CA76A,B738,PAX,EI-EFO,RYR,FR,Ryanair,LEMD,LBSF,MAD,SOF,2022-11-01 11:45:00.000000 UTC,2022-11-01 15:15:00.000000 UTC
2022-11-01,RYR92LB,FR8144,4CA802,B738,PAX,EI-EKD,RYR,FR,Ryanair,EGGW,EIKN,LTN,NOC,2022-11-01 12:35:00.000000 UTC,2022-11-01 14:00:00.000000 UTC
2022-11-01,RYR5XR,FR4440,4CA805,B738,PAX,EI-EKG,RYR,FR,Ryanair,EGGD,LEVC,BRS,VLC,2022-11-01 07:25:00.000000 UTC,2022-11-01 09:40:00.000000 UTC
2022-11-01,RYR2UF,FR8841,4CA80C,B738,PAX,EI-EKL,RYR,FR,Ryanair,LEBL,LEIB,BCN,IBZ,2022-11-01 09:40:00.000000 UTC,2022-11-01 10:45:00.000000 UTC
2022-11-01,RYR7DT,FR4380,4CA8E5,B738,PAX,EI-ENS,RYR,FR,Ryanair,LFOB,EETN,BVA,TLL,2022-11-01 15:00:00.000000 UTC,2022-11-01 17:55:00.000000 UTC
2022-11-01,NOS2041,NO2041,4CA9A1,B38M,PAX,EI-RZB,NOS,NO,Neos,HESH,LIRF,SSH,FCO,2022-11-01 13:40:00.000000 UTC,2022-11-01 17:50:00.000000 UTC
2022-11-01,SAS1874,SK1874,4CACC9,CRJ9,PAX,EI-FPU,BCY,WX,CityJet,EKCH,ENZV,CPH,SVG,2022-11-01 16:00:00.000000 UTC,2022-11-01 17:15:00.000000 UTC
2022-11-01,LGL9732,LG9732,4D00D7,DH8D,PAX,LX-LQC,LGL,LG,Luxair,EDDM,ELLX,MUC,LUX,2022-11-01 07:45:00.000000 UTC,2022-11-01 08:55:00.000000 UTC
2022-11-01,RYR1VL,FR5801,4D221A,B738,PAX,9H-QBQ,MAY,AL,Malta Airlines,LICC,LIRF,CTA,FCO,2022-11-01 16:05:00.000000 UTC,2022-11-01 17:30:00.000000 UTC
2022-11-01,RYR40JC,FR8045,4D221F,B738,PAX,9H-QEI,MAY,AL,Malta Airlines,LIRZ,LICJ,PEG,PMO,2022-11-01 13:55:00.000000 UTC,2022-11-01 15:05:00.000000 UTC
2022-11-01,RYR5NL,FR3140,4D2232,B738,PAX,9H-QBX,MAY,AL,Malta Airlines,LEBL,LIPZ,BCN,VCE,2022-11-01 12:45:00.000000 UTC,2022-11-01 14:45:00.000000 UTC
2022-11-01,RYR8UP,FR4888,4D2232,B738,PAX,9H-QBX,MAY,AL,Malta Airlines,LIBD,LIPZ,BRI,VCE,2022-11-01 21:20:00.000000 UTC,2022-11-01 22:40:00.000000 UTC
2022-11-01,RYR41JK,FR4456,4D224D,B738,PAX,9H-QEL,MAY,AL,Malta Airlines,EDDK,LIRF,CGN,FCO,2022-11-01 18:05:00.000000 UTC,2022-11-01 20:05:00.000000 UTC
2022-11-01,RYR9586,FR9586,4D2258,B738,PAX,9H-QCW,MAY,AL,Malta Airlines,LIRP,LICJ,PSA,PMO,2022-11-01 15:40:00.000000 UTC,2022-11-01 17:00:00.000000 UTC
2022-11-01,RYR448R,FR4480,4D2261,B738,PAX,9H-QBV,MAY,AL,Malta Airlines,EYVI,EDDN,VNO,NUE,2022-11-01 11:50:00.000000 UTC,2022-11-01 13:55:00.000000 UTC
2022-11-01,RYR5GB,FR2396,4D226F,B738,PAX,9H-QBG,MAY,AL,Malta Airlines,LIPE,EGSS,BLQ,STN,2022-11-01 05:20:00.000000 UTC,2022-11-01 07:40:00.000000 UTC
2022-11-01,RYR9EU,FR5984,4D22FF,B38M,PAX,9H-VUA,MAY,AL,Malta Airlines,LIME,LEMD,BGY,MAD,2022-11-01 17:15:00.000000 UTC,2022-11-01 19:40:00.000000 UTC
2022-11-01,BTI6D9,BT619,502D0C,BCS3,PAX,YL-AAP,BTI,BT,Air Baltic,EVRA,EHAM,RIX,AMS,2022-11-01 14:50:00.000000 UTC,2022-11-01 17:15:00.000000 UTC
2022-11-01,TAP1060,TP1060,511101,AT76,PAX,ES-ATG,EST, EE ,Nordica,LPPT,LEBB,LIS,BIO,2022-11-01 14:05:00.000000 UTC,2022-11-01 16:10:00.000000 UTC
2022-11-01,KAC354,KU354,706026,A320,PAX,9K-AKF,KAC,KU,Kuwait Airways,VOBL,OKBK,BLR,KWI,2022-11-01 23:25:00.000000 UTC,2022-11-02 05:00:00.000000 UTC
2022-11-01,KAC741,KU741,706027,A320,PAX,9K-AKG,KAC,KU,Kuwait Airways,OKBK,OEDF,KWI,DMM,2022-11-01 07:40:00.000000 UTC,2022-11-01 08:35:00.000000 UTC
2022-11-01,KAC784,KU784,70606A,A20N,PAX,9K-AKQ,KAC,KU,Kuwait Airways,OEJN,OKBK,JED,KWI,2022-11-01 00:10:00.000000 UTC,2022-11-01 02:10:00.000000 UTC
2022-11-01,JZR732,J9732,70620B,A320,PAX,9K-CAJ,JZR,J9,Jazeera Airways,HECA,OKBK,CAI,KWI,2022-11-01 11:00:00.000000 UTC,2022-11-01 13:35:00.000000 UTC
2022-11-01,RNA409,RA409,70AA75,A332,PAX,9N-ALY,RNA,RA,Nepal Airlines,VNKT,VHHH,KTM,HKG,2022-11-01 05:20:00.000000 UTC,2022-11-01 09:45:00.000000 UTC
2022-11-01,OMS757,OV757,70C10A,A20N,PAX,A4O-OVE,OMS,OV,Salam Air,OOMS,VOTV,MCT,TRV,2022-11-01 18:50:00.000000 UTC,2022-11-01 22:30:00.000000 UTC
2022-11-01,SVA1029,SV1029,71004C,A333,PAX,HZ-AQC,SVA,SV,Saudia,OERK,OEJN,RUH,JED,2022-11-01 08:00:00.000000 UTC,2022-11-01 09:55:00.000000 UTC
2022-11-01,SVA1890,SV1890,7100B2,A321,PAX,HZ-ASV,SVA,SV,Saudia,OERK,OESH,RUH,SHW,2022-11-01 17:10:00.000000 UTC,2022-11-01 19:00:00.000000 UTC
2022-11-01,SVA374,SV374,7103D7,B789,PAX,HZ-ARF,SVA,SV,Saudia,GMMN,OERK,CMN,RUH,2022-11-01 19:30:00.000000 UTC,2022-11-02 02:00:00.000000 UTC
2022-11-01,SVA1331,SV1331,710501,A320,PAX,HZ-AS79,SVA,SV,Saudia,OERK,OEHL,RUH,HAS,2022-11-01 00:25:00.000000 UTC,2022-11-01 01:50:00.000000 UTC
2022-11-01,KNE92,XY92,7105BB,A20N,PAX,HZ-NS27,KNE,XY,flynas,OEAB,OERK,AHB,RUH,2022-11-01 18:15:00.000000 UTC,2022-11-01 19:50:00.000000 UTC
2022-11-01,AAR244,OZ244,71BC15,B744,CAR,HL7415,AAR,OZ,Asiana Airlines,KDFW,KSEA,DFW,SEA,2022-11-01 11:30:00.000000 UTC,2022-11-01 15:30:00.000000 UTC
2022-11-01,KAL313,KE313,71BE09,B748,CAR,HL7609,KAL,KE,Korean Air,RKSI,VHHH,ICN,HKG,2022-11-01 13:25:00.000000 UTC,2022-11-01 17:10:00.000000 UTC
2022-11-01,JNA329,LJ329,71BF57,B738,PAX,HL7757,JNA,LJ,JIN AIR,RKSS,RKPC,GMP,CJU,2022-11-01 12:00:00.000000 UTC,2022-11-01 13:10:00.000000 UTC
